Date,Open,High,Low,Close,Volume,Adj Close
2016-11-18,115.519997,115.769997,114.959999,115.150002,9863500,115.150002
2016-11-17,116.910004,117.220001,115.440002,116.169998,10295300,116.169998
2016-11-16,117.269997,117.269997,116.580002,116.769997,5269900,116.769997
2016-11-15,116.459999,117.239998,116.290001,117.120003,9108300,117.120003
2016-11-14,116.120003,117.139999,115.489998,116.110001,20431800,116.110001
2016-11-11,119.650002,119.690002,116.230003,117.099998,20091000,117.099998
2016-11-10,121.519997,121.540001,119.379997,119.75,22263900,119.75
2016-11-09,124.300003,124.349998,121.110001,121.559998,17982000,121.559998
2016-11-08,122.120003,123.089996,121.360001,121.639999,9173700,121.639999
2016-11-07,122.660004,122.709999,121.879997,122.150002,10015000,122.150002
2016-11-04,124.400002,124.540001,124.040001,124.389999,8594600,124.389999
2016-11-03,123.360001,124.330002,123.349998,124.300003,10093100,124.300003
2016-11-02,123.760002,124.760002,123.559998,123.639999,15692400,123.639999
2016-11-01,122.800003,123.209999,122.57,122.730003,13384300,122.730003
2016-10-31,121.510002,122.00,121.230003,121.940002,7722100,121.940002
2016-10-28,121.199997,122.480003,120.809998,121.580002,11639900,121.580002
2016-10-27,121.110001,121.18,120.75,121.010002,4336000,121.010002
2016-10-26,121.370003,121.529999,120.610001,120.790001,3905900,120.790001
2016-10-25,120.889999,121.760002,120.860001,121.470001,6141100,121.470001
2016-10-24,121.279999,121.300003,120.160004,120.559998,5481100,120.559998
2016-10-21,120.900002,120.93,120.550003,120.830002,6707800,120.830002
2016-10-20,121.389999,121.589996,120.629997,120.739998,6496700,120.739998
2016-10-19,121.129997,121.459999,120.889999,121.110001,6019800,121.110001
2016-10-18,120.080002,120.639999,119.82,120.419998,4919700,120.419998
2016-10-17,119.699997,119.919998,119.580002,119.68,4777900,119.68
2016-10-14,119.370003,120.160004,119.290001,119.360001,6577300,119.360001
2016-10-13,120.00,120.419998,119.800003,120.029999,7184600,120.029999
2016-10-12,119.720001,120.07,119.290001,119.739998,4848600,119.739998
2016-10-11,119.919998,120.160004,119.529999,119.550003,6065300,119.550003
2016-10-10,119.739998,120.419998,119.739998,120.160004,4514400,120.160004
2016-10-07,120.489998,120.580002,118.419998,119.739998,17907300,119.739998
2016-10-06,119.690002,119.980003,119.239998,119.660004,17917700,119.660004
2016-10-05,121.330002,121.589996,120.400002,120.779999,14718100,120.779999
2016-10-04,123.160004,123.18,120.860001,120.970001,24372700,120.970001
2016-10-03,125.32,125.459999,124.900002,125.32,9044100,125.32
2016-09-30,126.519997,126.550003,125.239998,125.639999,11204300,125.639999
2016-09-29,125.839996,126.339996,125.540001,126.07,7448400,126.07
2016-09-28,126.25,126.400002,125.730003,126.220001,6757700,126.220001
2016-09-27,126.860001,126.900002,126.339996,126.620003,6220700,126.620003
2016-09-26,127.959999,128.039993,127.419998,127.550003,5842700,127.550003
2016-09-23,127.599998,127.860001,127.43,127.650002,7702300,127.650002
2016-09-22,127.57,128.199997,127.50,127.57,15188000,127.57
2016-09-21,126.330002,127.419998,125.959999,127.269997,13646400,127.269997
2016-09-20,125.309998,125.589996,125.169998,125.440002,5672000,125.440002
2016-09-19,125.610001,125.620003,125.25,125.32,4959600,125.32
2016-09-16,124.809998,125.25,124.669998,125.059998,18995100,125.059998
2016-09-15,125.730003,126.099998,124.910004,125.370003,12790400,125.370003
2016-09-14,126.099998,126.540001,126.029999,126.18,5820700,126.18
2016-09-13,126.470001,126.599998,125.529999,125.75,8866400,125.75
2016-09-12,126.309998,126.919998,125.970001,126.589996,11140300,126.589996
2016-09-09,127.239998,127.510002,126.699997,126.75,12485600,126.75
2016-09-08,128.160004,128.520004,127.400002,127.589996,10561800,127.589996
2016-09-07,128.789993,128.860001,128.119995,128.270004,8859800,128.270004
2016-09-06,127.400002,129.080002,127.269997,128.710007,15115300,128.710007
2016-09-02,126.290001,126.57,125.580002,126.57,11318600,126.57
